Transfection,Replicate,Receptor ,Peptide ,0,1.00E-12,1.00E-11,1.00E-10,0.000000001,0.00000001,0.0000001,0.000001,0.00001,0.0001,atp
1,2,BfloR1,CRZ,1128.619669,1177.080987,2428.475678,5857.590202,5322.716932,6070.607427,1857.03023,2506.37585,21105.75493,40644.80993,67867.75511
1,3,BfloR1,CRZ,1565.039089,1248.454908,,5557.401208,3352.165806,3251.056737,3713.664189,3065.782808,3299.473584,37327.0647,62606.94789
1,1,BfloR1,GnRH,2110.624275,1883.780287,5883.992072,7405.647491,25024.01888,57798.89724,67490.82424,72815.79036,90562.17414,90585.64568,71808.36099
1,2,BfloR1,GnRH,1619.50424,1828.641153,2516.362192,7832.008888,11911.17301,72505.24806,67622.03639,89404.59298,79271.54761,103540.3479,70792.54902
1,3,BfloR1,GnRH,2001.524876,1666.435662,10513.96668,6415.512784,36061.69743,68352.61431,74927.43276,82558.87945,99295.7912,100197.4656,90520.38468
2,4,BfloR1,CRZ,468.5416788,324.07335,684.7018352,471.512496,236.8934208,363.7755,127.4100864,365.3274,274.1571592,349.8113856,14243.86924
2,5,BfloR1,CRZ,287.8579332,468.5474,323.9694136,508.084528,309.5971712,254.672,363.9734936,255.4557024,365.8489608,257.5104916,21371.35513
2,6,BfloR1,CRZ,611.985788,360.5175,396.504334,290.084704,510.3344688,327.129,236.5605552,602.8275024,365.5945072,330.894954,17929.81705
2,4,BfloR1,GnRH,339.3587824,360.2404584,324.55295,1080.794669,3212.45695,3883.375789,5877.044967,4746.433564,5537.48068,5113.512675,26314.84404
2,5,BfloR1,GnRH,268.3391216,521.9925952,396.6919492,990.4122344,2594.088603,4263.293267,4418.741561,5046.319687,5150.979815,3917.419077,26158.05239
2,6,BfloR1,GnRH,214.3827664,360.6405708,180.1007,738.1401804,3119.813992,4699.957122,5854.065779,5585.581662,5352.488494,4707.66987,22965.02088
2,1,BfloR1,CRZ-ext,485.9631864,522.49695,306.2878028,253.973664,218.5245912,363.7535,345.6258348,584.440968,530.4085292,2556.493442,20809.09189
2,2,BfloR1,CRZ-ext,324.2125172,180.1225,306.4048544,253.841952,237.036712,363.4455,163.5385944,218.8704768,439.1647872,1747.013031,14029.25601
3,7,BfloR1,GnRH,665.9619392,436.768016,1488.000758,474.1492788,10979.72698,13278.56775,29297.20839,22783.38149,44084.99007,53062.55155,50173.25433
3,8,BfloR1,GnRH,684.6558572,437.755984,1564.240037,985.8623764,10912.39541,13484.98641,26280.44891,22668.63283,48076.27882,51302.96065,84141.09083
3,7,BfloR1,CRZ,1141.434613,759.804832,934.720366,664.3262936,1262.844696,545.3073284,1179.000814,704.7986792,517.1831052,549.9277192,48699.01695
3,8,BfloR1,CRZ,1256.56679,760.005872,362.4862968,777.848408,1112.420861,282.0768832,542.0790228,538.3283328,424.6381472,256.6022544,78888.93689
3,9,BfloR1,CRZ,799.3481132,626.658912,286.0274008,492.5654588,848.39869,301.088192,617.7660832,463.9253668,959.3906284,275.4268504,49747.94281
3,3,BfloR1,CRZ-ext,1351.228577,493.880608,686.5226768,588.4862156,301.4886876,262.9746112,299.19504,854.12103,388.1324804,256.6909712,45662.76135
3,4,BfloR1,CRZ-ext,836.8297108,456.096576,1011.110041,227.6905344,640.882356,563.8751916,374.22012,352.4023092,425.9826912,366.5778176,39409.85751
3,5,BfloR1,CRZ-ext,723.3483456,265.481936,896.215432,436.0044588,395.6118772,375.7405532,393.208368,296.8596952,350.7949064,586.6065712,41753.0135
